date,city,temp_c,precip_mm,precip_hours,weather_code
2025-02-11,Barcelona,11.5,1.8,7.0,53
2025-02-12,Barcelona,9.8,9.2,11.0,61
2025-02-13,Barcelona,11.3,0.7,3.0,51
2025-02-14,Barcelona,10.1,0.0,0.0,3
2025-02-15,Barcelona,10.4,0.1,1.0,51
2025-02-16,Barcelona,10.2,0.0,0.0,3
2025-02-17,Barcelona,10.4,0.0,0.0,3
2025-02-18,Barcelona,11.0,0.0,0.0,3
2025-02-19,Barcelona,11.2,0.1,1.0,51
2025-02-20,Barcelona,12.5,0.0,0.0,3
2025-02-21,Barcelona,12.8,0.3,3.0,51
2025-02-22,Barcelona,13.1,4.9,18.0,55
2025-02-23,Barcelona,11.9,1.3,6.0,51
2025-02-24,Barcelona,10.8,0.0,0.0,3
2025-02-25,Barcelona,11.0,2.3,6.0,53
2025-02-26,Barcelona,10.1,3.7,3.0,63
2025-02-27,Barcelona,10.0,0.0,0.0,3
2025-02-28,Barcelona,10.5,0.0,0.0,3
2025-03-01,Barcelona,9.6,0.0,0.0,3
2025-03-02,Barcelona,11.4,0.0,0.0,3
2025-03-03,Barcelona,12.2,9.1,11.0,63
2025-03-04,Barcelona,13.4,0.3,3.0,51
2025-03-05,Barcelona,12.8,0.0,0.0,3
2025-03-06,Barcelona,12.5,9.9,15.0,61
2025-03-07,Barcelona,12.6,12.2,19.0,61
2025-03-08,Barcelona,13.5,7.1,21.0,55
2025-03-09,Barcelona,13.6,15.0,13.0,63
2025-03-10,Barcelona,10.6,1.2,2.0,53
2025-03-11,Barcelona,11.2,4.2,6.0,61
2025-03-12,Barcelona,11.4,5.9,8.0,63
2025-03-13,Barcelona,9.9,7.5,11.0,61
2025-03-14,Barcelona,8.8,15.7,18.0,61
2025-03-15,Barcelona,9.7,1.4,10.0,51
2025-03-16,Barcelona,8.2,3.4,8.0,61
2025-03-17,Barcelona,9.1,0.9,4.0,53
2025-03-18,Barcelona,9.9,0.4,2.0,51
2025-03-19,Barcelona,12.7,20.8,23.0,63
2025-03-20,Barcelona,13.9,3.0,6.0,61
2025-03-21,Barcelona,14.2,6.8,8.0,61
2025-03-22,Barcelona,12.3,1.4,4.0,53
2025-03-23,Barcelona,10.6,14.0,11.0,63
2025-03-24,Barcelona,10.2,4.3,5.0,63
2025-03-25,Barcelona,11.8,0.2,2.0,51
2025-03-26,Barcelona,11.9,0.1,1.0,51
2025-03-27,Barcelona,12.3,0.1,1.0,51
2025-03-28,Barcelona,12.6,1.1,4.0,53
2025-03-29,Barcelona,12.6,0.0,0.0,3
2025-03-30,Barcelona,12.2,0.0,0.0,2
2025-03-31,Barcelona,13.1,0.0,0.0,0
