sale_id,customer_id,product_id,sale_date,quantity,discount
1259,670,1521,2025-03-27,2,0
1558,47,1648,2025-01-12,2,0
1090,137,1334,2025-03-17,1,5
1754,165,1347,2025-03-18,4,0
1152,33,1726,2025-03-09,1,10
1777,539,1052,2025-01-19,4,0
1735,452,1181,2025-03-28,2,0
1286,439,1199,2025-02-01,3,NaN
1137,569,1765,2025-03-01,3,0
1676,195,1468,2025-02-22,5,0
1040,241,1315,2025-03-08,4,5
1862,585,1553,2025-02-23,2,0
1726,148,1314,2025-01-02,2,10
1204,360,1150,2025-01-24,3,NaN
1698,199,1511,2025-03-20,2,0
1160,429,1276,2025-03-30,2,0
1016,495,1164,2025-02-02,4,15
1422,284,1102,2025-02-21,-2,20
1248,397,1423,2025-02-16,2,5.0
1788,118,1210,2025-02-07,1,5
1508,471,1169,2025-01-25,1,5
1287,249,1305,2025-02-24,2,0
1175,227,1258,2025-02-14,1,5
1390,45,1329,2025-03-24,1,
1755,439,1389,2025-03-22,6,0
1580,684,1329,2025-01-03,3,0
1717,498,1715,,4,0
1336,484,1687,2025-01-21,3,5
1517,138,1626,2025-01-17,3,5
1516,121,1116,2025-01-28,1,15
1126,,1600,,3,15
1623,367,1073,2025-01-30,3,10
1442,33,1761,2025-02-26,1,5
1383,,1417,2025-01-19,3,10
1732,238,1008,not_a_date,3,15
1174,122,1492,2025-02-08,2,25
1599,626,1090,2025-02-22,4,0
1402,505,1530,2025-02-17,2,10.0
1775,181,1612,2025-02-24,2,5
1417,195,1683,2025-03-05,2,15
1186,560,1348,,7,10
1380,353,1755,2025-03-04,2,NaN
1114,374,1064,2025-03-24,3,0
1586,135,1367,2025-02-20,5,10
1216,378,1443,2025-02-05,4,10
1745,447,1212,2025-03-08,3,10
1747,246,1234,2025-03-14,1,20
1845,422,1330,2025-03-26,4,0
1234,588,1147,2025-02-17,4,5
1400,401,1514,2025-01-10,5.0,0
1638,460,1286,2025-03-07,2,0
1720,436,1259,2025-01-30,3,15
1701,557,1354,2025-01-02,3,NaN
1626,430,1468,2025-03-20,5,0
1668,400,1031,2025/01/08,2,0
1786,476,1410,2025-02-23,5,0
1622,262,1563,2025-03-26,3.0,20
1882,106,1100,,3,15
1257,437,1614,,-3,5
1087,360,1657,2025-02-07,1,15
1728,385,1316,2025-01-19,2,10
1854,695,1521,2025-02-07,3,15
1157,449,1640,2025-02-13,2,0
1629,690,1213,2025-01-17,3,10
1721,57,1767,2025-01-22,2,25
1067,189,1359,2025-01-07,3,20
1244,,1777,2025-02-10,3,0
1309,,1254,2025-03-03,4,5.0
1226,406,1196,2025-01-25,3,NaN
1776,596,1495,2025-03-18,5,15
1031,354,1699,not_a_date,1,0
1466,362,1104,2025-02-13,3,200
1415,163,1027,2025-02-21,3,10
1007,623,1284,,2,5
1124,345,1629,2025-03-02,3,0
1483,691,1085,2025-03-22,2,0
1841,456,1468,2025-03-12,3,0
1033,213,1631,2025-02-18,2,0
1619,243,1438,2025-01-30,7,5
1518,228,1236,2025-01-04,1,5
1142,438,1344,2025-03-15,2,0
1077,92,1314,2025-02-28,3,10
1107,710,1458,2025-02-02,one,0
1533,22,1294,2025-02-26,4,0
1335,94,1648,not_a_date,2,0
1475,546,1191,2025-01-29,5,20
1482,311,1166,2025-02-15,5,0
1900,78,1524,2025-01-25,5,0
1447,323,1774,not_a_date,1,0
1225,222,1029,2025-01-12,1,15
1766,6,1616,2025-02-05,1,0
1350,238,1254,2025-01-30,4,10
1503,174,1230,2025-03-13,5,0
1877,99,1664,2025-02-27,7,0
1460,461,1557,2025-02-25,3,10
1436,478,1632,2025-01-27,3,15
1675,535,1535,2025-02-21,4,0
1559,413,1307,2025-03-12,1,0
1136,541,1531,2025-03-25,3,0
1340,250,1334,2025-02-22,3,0
1254,357,1643,,3,5
1085,195,1640,2025-02-06,1,0.0
1162,372,1293,2025-01-08,2,10
1665,620,1360,2025-03-10,-2,10
1158,174,1544,2025-03-31,,0
1485,84,1510,2025-03-14,4,0
1377,628,1411,2025-03-06,2,10
1650,110,1538,2025-03-16,4,10
1119,564,1592,2025-03-28,4,200
1531,175,1264,2025-03-15,-5,5
1076,163,1577,2025-01-30,3,0
1068,71,1685,2025-01-23,3,5
1806,267,1633,2025-02-26,2,0
1359,280,1708,2025-03-05,1,15
1894,261,1129,2025-01-27,4,10
1885,193,1342,2025-03-19,2,15
1848,203,1143,2025-02-20,4,0
1111,133,1576,2025-02-25,1,10
1080,354,1732,2025-01-21,2,0
1100,347,1105,2025-03-26,2,5.0
1319,114,1609,2025-02-25,2,10
1536,405,1086,2025-02-07,1,15
1133,400,1615,2025-01-05,3,0
1237,76,1317,2025-03-16,2,10
1242,245,1462,2025-01-11,3,0
1708,221,1040,2025-02-06,4,
1585,20,1696,2025-01-12,2,15
1601,414,1699,2025-01-26,3,0
1739,601,1218,2025-01-16,6,0
1690,80,1246,,4,0
1368,57,1093,2025-01-31,3,0
1607,682,1212,2025-02-23,3,0
1139,202,1197,not_a_date,2,0
1429,574,1024,2025-02-09,5,10
1131,447,1702,2025-03-16,5,5
1294,3,1319,2025-01-29,4,0
1455,25,1099,2025-03-20,5,15
1166,171,1779,2025-03-19,4,5.0
1393,471,1562,2025-02-13,1,0
1620,145,1236,2025-02-05,4,0
1703,629,1585,2025-03-30,7,15
1554,145,1022,2025-01-23,4,0
1733,224,1475,,2,5
1633,492,1195,2025-02-01,3,10
1811,684,1003,2025-02-05,2,0
1850,327,1745,2025/01/18,3,0
1456,37,1033,2025-01-27,2,15
1299,233,1395,2025-03-06,3,15
1342,443,1099,2025-03-07,2,0
1439,660,1431,2025-03-27,3,5
1437,445,1334,2025-03-11,4,0
1066,90,1381,2025-03-24,2,0
1477,566,1070,2025-03-22,,20
1351,421,1340,2025-03-15,2,NaN
1123,494,1333,,1,5
1526,468,1371,2025-02-20,2,0
1165,343,1331,2025-02-25,2,25
1280,636,1759,2025-01-03,6,25
1655,29,1289,2025-02-20,2,5
1513,102,1303,2025-01-08,5,0
1861,315,1093,2025-03-19,1,20
1751,343,1655,2025-02-16,3,0
1291,552,1684,2025-01-14,5,0
1346,253,1496,2025-02-26,4,0
1421,,1117,2025-01-22,2,0
1403,213,1362,2025-02-10,3,5
1579,694,1472,2025-02-23,4,0
1836,380,1160,2025-03-14,4,15
1384,72,1761,2025-01-13,4,0
1009,11,1377,2025-01-22,2,0
1791,587,1132,2025-02-16,3,25
1794,246,1693,2025-02-28,one,0
1688,506,1731,2025-01-26,4,0
1434,292,1745,,3,
1484,645,1789,2025/03/22,3,20
1672,374,1512,not_a_date,1,0
1050,321,1493,,5,10
1833,670,1463,2025-01-16,1,0
1528,488,1113,2025-03-20,3,0
1781,98,1660,,1,
1661,272,1392,2025-01-08,5,200
1060,94,1497,2025-03-18,2,25
1306,641,1266,2025-01-22,1,15
1073,457,1205,2025-01-07,3,10
1667,360,1519,2025-01-10,3,0
1644,665,1561,2025-01-17,1,0
1188,590,1396,2025-01-01,2,0
1105,15,1551,not_a_date,3,0
1800,216,1122,2025-02-20,5,0
1673,361,1563,2025-02-12,2,0
1135,319,1223,2025-03-04,3,0
1180,716,1555,2025-02-07,1,0
1519,385,1775,2025-03-03,3,0
1869,586,1150,2025/02/22,2,0
1034,615,1180,2025-03-31,6,5
1669,254,1076,,2,10
1323,269,1016,2025/03/11,2,10
1314,560,1305,2025-01-13,6,5
1011,229,1649,2025-02-02,5,0
1044,41,1478,2025-03-28,2,0
1221,322,1417,2025-03-06,2,5
1201,140,1327,,4,5
1355,107,1546,2025-03-19,5,20
1358,,1085,2025-02-20,3,15
1511,86,1709,2025-02-07,1,0
1028,149,1634,2025-01-21,3,NaN
1548,177,1721,2025-03-25,1,
1651,565,1146,2025-03-09,4,10
1577,301,1020,2025/01/10,1,0
1079,290,1746,2025-03-01,2,5
1731,101,1359,2025-01-12,4,10
1406,585,1699,2025-02-03,2,10
1282,175,1231,2025-01-31,3.0,5
1078,211,1247,2025-03-28,1,5
1764,339,1051,2025-02-02,2,0
1479,703,1196,2025-02-28,,10
1445,201,1366,2025-01-06,3,0
1617,522,1555,2025-02-08,2,5
1449,247,1701,2025-03-03,one,NaN
1812,188,1516,2025-03-16,-4,15
1817,413,1331,2025-02-15,3,NaN
1660,179,1357,2025-03-29,2,10
1121,145,1108,2025-02-17,3,0
1785,267,1387,2025-01-12,3,15
1091,374,1546,2025-02-04,3,0
1818,430,1040,2025-02-25,4,10
1792,21,1565,2025-02-12,3,10
1772,195,1535,2025-03-30,3,0
1210,407,1195,2025-01-23,5,0
1851,439,1163,2025-03-17,6,
1642,29,1434,,1,0
1051,124,1657,2025-03-11,3,15
1520,472,1308,2025-02-09,4,25
1378,262,1676,2025-02-15,4,0
1840,641,1648,2025-01-10,1,0
1608,387,1299,2025-01-16,2,0
1679,639,1303,2025-03-17,2,0
1375,148,1365,2025/03/07,-3,0
1247,669,1464,2025-03-05,5,0
1892,482,1352,2025-01-10,1,0
1748,51,1737,2025-01-03,5,0
1639,708,1116,2025-03-30,4,0
1514,83,1250,2025-02-05,-4,200
1705,222,1799,2025-03-11,2,0
1807,125,1158,2025-02-28,2,5
1495,408,1183,,2,10
1245,264,1360,2025-02-02,2,5
1197,497,1652,2025-02-20,4,10
1300,,1309,2025-01-10,3,15
1645,157,1087,2025-01-20,2,0
1170,346,1285,2025-01-09,2,5
1613,620,1103,2025-03-12,3,0
1441,632,1363,2025-01-02,4,5
1219,455,1216,2025-01-06,3,0
1260,520,1091,2025-02-11,3,0
1523,635,1072,2025/02/03,2,0
1381,515,1625,2025-03-13,4,NaN
1143,293,1266,2025-03-04,3,0
1278,251,1325,2025-02-08,2,25
1670,323,1450,2025-02-18,one,0
1529,388,1781,2025-03-24,4,0
1711,558,1513,2025-01-20,3,10
1023,551,1792,2025-01-01,2,0
1691,310,1750,2025-01-13,2,15
1577,301,1020,2025/01/10,1,0
1462,22,1527,2025-02-03,2.0,
1116,539,1580,2025-03-29,4,0
1179,584,1702,2025-01-13,4,0
1593,97,1160,2025-03-05,1,0
1839,609,1105,2025-02-15,4,0
1261,,1281,2025-01-16,4,0
1847,705,1275,2025-01-14,2,10
1710,602,1657,2025-01-01,2,0
1284,141,1383,2025-02-05,6,20
1222,302,1184,2025-02-22,2.0,10
1646,47,1778,2025-02-22,4,10
1575,270,1055,2025-02-27,1,5
1389,388,1453,2025-01-27,1,10
1021,46,1075,2025-01-18,3,0
1304,94,1536,2025-02-26,3,5
1069,233,1399,2025-03-11,2,10
1324,702,1071,2025-01-10,2,0
1516,121,1116,2025-01-28,1,15
1592,601,1733,2025-03-17,one,0
1730,290,1638,,3,0
1120,324,1382,2025-01-29,3,0
1118,328,1183,2025-02-08,2,0
1758,539,1532,2025-03-24,one,0
1572,328,1126,2025-02-23,6,20
1525,68,1092,2025-02-05,2,20
1589,698,1366,2025-03-08,2,0
1832,222,1567,2025-03-08,2,15
1597,378,1014,2025-03-09,3,5
1692,423,1289,2025-03-17,4,5
1238,609,1681,2025/01/24,1,5
1521,512,1439,2025-02-13,3,20
1859,713,1055,2025-01-26,4,
1659,169,1588,2025-02-08,2,NaN
1297,84,1268,2025-02-28,3,15
1164,446,1367,2025-02-28,4,
1888,59,1572,2025-02-16,3,0
1491,436,1278,2025-03-21,4,0
1765,249,1542,2025-01-30,3,5
1896,417,1086,2025-01-01,3,0
1469,,1623,2025-02-10,2,0
1499,230,1637,2025-03-18,4,20
1154,386,1310,2025-01-14,4,0
1371,64,1409,2025-02-13,3,0
1654,272,1708,2025-02-27,3,0
1546,558,1754,2025-03-31,1,0
1193,675,1345,2025-03-10,4,0
1712,130,1393,2025-01-21,3,20
1867,84,1632,not_a_date,6,5
1693,145,1558,2025-03-11,1,0
1144,619,1619,2025-01-21,4,5
1101,225,1403,2025-03-08,2,0
1015,616,1460,2025-03-02,6,0
1556,373,1473,2025-03-07,3,0
1372,227,1134,2025-03-17,5,0
1281,316,1166,2025-03-09,4,25
1008,118,1232,2025-01-14,5,5
1215,83,1218,2025/03/07,5,15
1505,617,1530,2025-02-27,7,5
1167,262,1467,2025-01-04,3,10
1643,533,1706,2025-03-12,3,0
1348,,1527,2025-02-04,1,0
1271,531,1595,2025-02-18,2,10
1057,221,1033,2025-03-22,2,0
1094,395,1218,2025-03-02,3,10
1151,25,1726,2025-03-25,3,15
1754,165,1347,2025-03-18,4,0
1664,21,1603,2025-02-13,5,5
1723,717,1331,2025-03-11,3,15
1213,205,1517,2025-03-22,3,0
1883,510,1227,2025-02-11,3,5
1303,527,1195,2025-03-13,1,10
1606,180,1238,2025-03-03,4,20
1741,441,1312,2025-01-17,5,0
1218,448,1501,2025-02-08,4,10
1863,226,1428,2025-01-11,1,0
1283,387,1178,2025-03-03,3,15
1017,203,1249,2025-02-13,2,
1757,,1424,2025-03-30,4,15
1784,532,1580,2025-03-27,4,10
1231,87,1386,2025-03-27,3,0
1020,139,1244,2025-01-07,3,0
1504,132,1775,2025/02/12,5,20
1194,367,1380,2025-02-23,1,NaN
1492,173,1244,2025-03-14,7,0
1082,566,1611,2025-02-25,4,0
1096,118,1737,2025-01-26,4,25
1261,,1281,2025-01-16,4,0
1749,245,1645,2025-01-12,,15
1618,121,1516,2025-01-18,3,0
1333,214,1196,2025-02-04,4,0
1062,360,1016,2025-02-24,2,15
1776,596,1495,2025-03-18,5,15
1578,568,1290,2025-01-09,4,10
1301,269,1406,2025-02-12,2,15
1769,435,1322,2025-02-27,one,0
1024,300,1492,2025-03-01,1,5
1293,,1380,2025-01-17,6,10
1398,604,1544,2025-01-26,2,5
1550,545,1612,2025-01-28,5,10
1821,489,1492,2025-03-24,1,NaN
1624,536,1566,2025/02/12,6,10
1427,566,1578,2025-03-26,3,10
1706,709,1451,2025-03-13,2,10
1668,400,1031,2025/01/08,2,0
1605,158,1074,2025-01-27,3,0
1740,169,1204,2025-01-12,-1,0
1756,,1065,2025-01-13,2,0
1685,330,1700,2025-02-08,3,0
1325,483,1793,2025-03-03,4,0
1228,534,1785,2025-03-01,2,0
1285,114,1700,2025-03-02,2,5
1666,207,1157,2025-01-08,4,5
1656,615,1379,2025-03-01,2,0
1241,439,1736,not_a_date,3,15
1825,174,1521,2025-03-11,3,0
1630,619,1800,2025-01-10,7,10
1713,52,1386,2025-01-14,-5,0
1509,17,1152,2025-01-12,3,15
1886,56,1396,2025-02-05,4,20
1063,395,1671,2025-03-19,5,25
1787,645,1085,2025-01-22,5,0
1113,570,1799,2025-01-11,6,0
1217,175,1601,2025-02-06,2,0
1125,618,1528,2025-02-12,1,0
1799,160,1519,2025-01-03,4,10
1240,199,1259,2025-03-06,2,10
1262,298,1557,2025-02-22,2,0
1414,658,1212,2025-01-17,3,0
1515,269,1342,2025-02-02,1,10
1543,707,1219,2025-02-27,2,10
1834,619,1765,2025-01-16,2.0,0
1423,434,1630,2025-03-26,,15
1397,416,1428,2025-01-19,1,5
1553,206,1252,2025-01-05,1,0
1307,680,1580,2025-02-17,7,5
1214,16,1368,2025-01-01,2,10
1246,44,1707,2025-03-03,3,5
1184,673,1190,2025-01-14,6,0
1302,669,1024,2025-02-02,6,5
1454,533,1674,2025-02-13,2,5
1457,514,1398,2025-01-31,3,0.0
1365,131,1436,2025-02-07,5,0
1395,97,1442,2025-02-28,5,200
1159,555,1014,2025-01-04,4,0
1860,640,1150,2025-03-01,3,10
1214,16,1368,2025-01-01,2,10
1268,285,1550,2025-03-24,3,5
1600,570,1601,2025-01-24,4,5
1697,59,1265,2025-01-15,4,5
1337,561,1460,2025-02-12,3.0,0
1796,112,1499,2025-01-12,-2,5
1270,110,1141,2025-03-20,5,0
1345,511,1752,2025-01-30,4,
1288,217,1432,2025-01-04,3,0
1562,111,1173,2025-02-26,3,0
1156,132,1056,2025-03-23,6,0
1582,519,1426,2025-01-23,7,5
1700,643,1410,2025-03-30,3,0
1308,715,1402,2025-02-24,1,10
1611,616,1596,2025-03-17,2,0
1354,701,1076,,4,5
1472,538,1322,2025-02-24,3,20
1724,456,1476,2025-01-21,4,25
1557,368,1305,2025-01-20,3,0
1889,71,1700,2025-01-29,3,15
1189,499,1049,2025-01-04,1,5
1890,386,1350,2025-02-18,4,0
1006,290,1647,2025-02-04,3,0
1290,666,1221,2025-03-08,1,0
1161,622,1451,,3,0
1616,421,1071,2025-01-25,4,0
1663,47,1240,2025-01-17,3.0,0
1176,148,1480,2025-03-10,3,0
1081,670,1636,2025-01-17,1,0
1053,133,1451,,5,0
1018,322,1407,2025-03-16,1.0,0
1696,120,1268,2025-02-22,4,0
1632,264,1209,2025-03-10,3,20
1801,631,1765,2025-03-17,2,15
1190,118,1799,2025-02-01,one,5
1887,436,1163,2025-02-16,2,5
1510,204,1676,2025-01-29,4,0
1106,357,1087,2025-02-09,2,0
1264,218,1414,2025-01-28,5,0
1798,575,1386,,5,0.0
1759,464,1785,2025-01-12,3,25
1494,439,1075,2025-02-14,2,0
1032,425,1414,2025-03-06,2,0
1899,468,1487,2025-01-01,5,
1855,368,1640,2025-02-14,4,0
1865,595,1179,2025-01-03,1,0
1636,686,1744,not_a_date,4,5
1400,401,1514,2025-01-10,5.0,0
1879,213,1335,2025-01-19,3,0
1267,618,1596,2025-01-17,2,0
1187,204,1598,2025-01-29,2,15
1871,268,1481,2025-01-30,3,0
1255,129,1483,2025-01-20,,5
1056,4,1124,2025-01-30,one,5
1102,101,1453,2025-01-04,4,0
1750,709,1779,2025-02-23,3,
1410,575,1420,2025-02-15,1,0.0
1366,458,1179,2025-02-15,1,5
1243,290,1275,2025-01-02,6,10
1072,449,1754,2025-03-12,3,0
1858,359,1393,2025-01-18,3,0
1377,628,1411,2025-03-06,2,10
1648,314,1148,2025-03-27,2,10
1275,587,1282,2025-01-23,2,0
1779,679,1087,2025-01-23,3,0
1699,403,1316,2025-02-04,3,NaN
1356,301,1030,2025-03-05,5,0
1115,413,1097,2025-02-09,3,0.0
1450,130,1514,2025-01-14,3,5
1047,624,1236,2025-02-10,5,0
1547,12,1164,2025-03-27,1,0
1127,233,1681,2025-02-20,4,20
1110,553,1057,2025-01-28,5,0
1095,298,1653,2025-01-29,4,0
1338,612,1693,2025-03-29,5,0
1739,601,1218,2025-01-16,6,0
1880,684,1707,2025-01-09,5,5
1329,240,1310,2025-01-27,-2,0
1782,157,1033,2025-01-30,2,5
1155,526,1466,2025-01-26,4,0
1614,419,1263,2025-03-15,2,20
1502,213,1440,2025-02-27,1,20
1682,155,1746,2025-03-25,1,0
1702,429,1588,2025-03-14,2,25
1875,377,1138,2025-02-19,1,0
1470,593,1195,2025-01-11,6,15
1230,278,1647,2025-01-16,2,0
1041,72,1447,2025/03/31,5,5
1122,296,1678,2025-02-20,3,20
1407,455,1307,2025-01-18,2,0
1072,449,1754,2025-03-12,3,0
1448,661,1476,2025-01-24,5,10
1306,641,1266,2025-01-22,1,15
1458,124,1346,2025-01-01,4,5
1227,15,1508,2025-03-25,3,0
1334,636,1780,2025-02-09,2,0
1093,231,1089,2025-03-25,4,10
1376,373,1117,2025-01-07,2,20
1881,324,1330,2025-03-11,2,0.0
1767,666,1344,2025-01-06,4,0
1538,577,1617,not_a_date,2,10
1370,641,1713,2025-01-08,3,0
1872,66,1483,2025-01-06,4,10
1202,324,1092,2025-03-20,5,0
1534,88,1650,2025-02-06,4,10
1453,534,1721,2025-02-05,6,0
1311,73,1317,2025-02-23,1,5
1446,661,1189,2025-03-08,4,5
1681,676,1760,2025-03-02,5,0
1266,24,1618,2025-03-19,2,5.0
1746,193,1784,2025-01-12,4,5
1409,537,1419,2025-02-06,5,0
1343,51,1339,not_a_date,5,10
1192,209,1736,2025-01-24,2,0
1615,321,1294,2025-01-02,4,0
1802,7,1690,2025-01-12,2,20
1443,624,1103,2025-02-19,3,
1587,268,1267,not_a_date,3,0
1382,207,1164,2025-03-18,3,0.0
1320,297,1756,2025-03-18,3,25
1055,163,1071,2025-03-07,3,25
1563,133,1768,2025-02-13,4,5
1804,557,1755,2025-01-07,4,0
1083,446,1557,2025-03-05,5,0
1172,651,1454,,2,10
1864,336,1199,2025-03-04,2,5
1297,84,1268,2025-02-28,3,15
1527,23,1701,2025-01-28,5,5
1440,682,1292,not_a_date,5,0
1637,331,1744,2025-03-10,6,10
1872,66,1483,2025-01-06,4,10
1843,300,1406,2025-03-18,2,15
1430,171,1090,2025-02-23,1,0
1459,240,1251,2025-01-19,2,0
1318,234,1380,not_a_date,3,15
1474,197,1375,2025-01-08,3,5
1547,12,1164,2025-03-27,1,0
1332,177,1314,2025-02-14,1,0
1852,,1650,2025-02-25,2,0
1277,708,1383,2025-03-21,1,0
1084,459,1650,2025-01-11,4,0
1205,664,1417,2025-02-03,4,10
1726,148,1314,2025-01-02,2,10
1416,419,1142,2025-01-22,2,0
1312,716,1786,,3,0
1344,506,1757,2025-02-24,6,0
1478,136,1434,2025-02-27,3,10
1145,286,1244,2025-02-18,4,0
1392,649,1655,2025-01-27,2,0
1820,133,1013,2025-02-02,3,5
1627,,1697,2025-03-02,,0
1583,245,1373,2025-03-11,2,5
1132,710,1459,2025-01-14,2,0
1191,,1561,2025-03-02,2,NaN
1328,283,1767,2025-01-14,5,10
1634,659,1432,2025-02-19,4,20
1022,645,1632,2025-03-27,3,0
1683,666,1502,2025-01-25,1,0
1052,249,1248,2025-01-08,3,20
1038,671,1184,2025-01-19,4,15.0
1674,197,1150,2025-03-17,3,0
1590,512,1784,2025-02-26,4,0
1595,535,1484,2025-01-20,3,0
1232,164,1333,2025-01-06,4,0
1793,4,1601,2025-03-06,1,10
1567,90,1569,2025-01-13,5,5
1251,,1588,2025-01-06,4,25
1134,29,1316,2025-01-14,1,0
1200,164,1125,2025-02-03,1,0
1074,524,1317,2025-02-04,2,0
1601,414,1699,2025-01-26,3,0
1783,270,1043,2025-01-05,5,0
1822,216,1517,2025-03-13,5,0
1099,44,1546,2025/01/27,3.0,0.0
1774,120,1387,2025/02/21,-2,200
1181,143,1427,2025-03-05,3,10
1835,437,1686,2025-02-07,1,5
1258,538,1145,2025-03-23,4,15
1857,123,1076,2025-02-04,4,0
1432,633,1677,2025-03-16,4,20
1349,53,1022,2025-01-18,-4,5
1149,72,1218,2025-03-22,2,0
1837,455,1579,2025-02-24,3,5
1542,674,1478,2025-03-23,3,5
1117,150,1616,2025/01/30,2,5
1569,108,1200,2025-01-14,2,0
1013,672,1734,2025-03-07,3,
1639,708,1116,2025-03-30,4,0
1353,319,1175,2025-02-05,5,0
1609,516,1585,2025-01-16,1,0
1827,54,1236,2025-02-05,,200
1734,237,1357,2025-01-04,2,5
1089,148,1700,2025-02-16,3,5
1884,422,1735,2025-01-15,-2,0.0
1239,35,1685,2025-01-20,2,5
1463,330,1446,2025-01-05,2,5
1272,389,1011,2025-02-07,4,5
1279,543,1262,2025-02-01,1,0
1635,119,1789,2025-01-27,4,0
1412,177,1616,2025-01-10,2,0
1539,,1738,2025-02-17,1,0
1752,313,1354,2025-02-08,5,10
1088,235,1103,2025-01-28,5,0
1767,666,1344,2025-01-06,4,0
1631,536,1580,2025-02-18,3,0
1718,438,1451,2025-01-30,3,0
1098,664,1737,2025-02-10,5,10.0
1464,,1103,2025-01-22,4,0
1103,651,1732,2025-03-02,3,0.0
1153,37,1764,2025-01-03,one,15
1212,96,1546,2025-03-03,6,0
1451,567,1065,2025-01-26,4,0
1540,613,1189,2025-01-06,3,0
1828,412,1201,not_a_date,5,0
1220,287,1132,2025-02-27,1,NaN
1518,228,1236,2025-01-04,1,5
1352,261,1531,2025-01-12,one,0
1561,222,1582,2025-02-20,3,NaN
1002,447,1170,2025-02-18,3,5
1487,544,1380,2025-03-18,1,0
1030,118,1110,2025-01-23,6.0,10
1795,503,1600,2025-03-10,2,5
1401,653,1421,2025-03-27,4,15
1108,183,1762,2025/03/02,3,0
1602,284,1665,2025-01-30,1,0
1535,97,1271,2025-03-16,4,0
1866,17,1255,2025-02-04,4,0
1805,695,1369,2025-01-24,1,0
1444,409,1195,2025-03-17,3,
